agrCrn,agrSbi
1102838829,106284736
1103623923,107365747
1103313150,106514040
1103711172,107034848
1103019058,106440951
1103171356,107214733
1102760349,121428499
1100495932,106238988
1200000000,200000000
1200000001,200000001
1200000002,200000002
1200000003,200000003
1200000004,200000004
1200000005,200000005
1200000006,200000006
1200000007,200000007
1200000008,200000008
1200000009,200000009
1200000010,200000010
1200000011,200000011
1200000012,200000012
1200000013,200000013
1200000014,200000014
1200000015,200000015
1200000016,200000016
1200000017,200000017
1200000018,200000018
1200000019,200000019
1200000020,200000020
1200000021,200000021
1200000022,200000022
1200000023,200000023
1200000024,200000024
1200000025,200000025
1200000026,200000026
1200000027,200000027
1200000028,200000028
1200000029,200000029
1200000030,200000030
1200000031,200000031
1200000032,200000032
1200000033,200000033
1200000034,200000034
1200000035,200000035
1200000036,200000036
1200000037,200000037
1200000038,200000038
1200000039,200000039
1200000040,200000040
1200000041,200000041
1200000042,200000042
1200000043,200000043
1200000044,200000044
1200000045,200000045
1200000046,200000046
1200000047,200000047
1200000048,200000048
1200000049,200000049
1200000050,200000050
1200000051,200000051
1200000052,200000052
1200000053,200000053
1200000054,200000054
1200000055,200000055
1200000056,200000056
1200000057,200000057
1200000058,200000058
1200000059,200000059
1200000060,200000060
1200000061,200000061
1200000062,200000062
1200000063,200000063
1200000064,200000064
1200000065,200000065
1200000066,200000066
1200000067,200000067
1200000068,200000068
1200000069,200000069
1200000070,200000070
1200000071,200000071
1200000072,200000072
1200000073,200000073
1200000074,200000074
1200000075,200000075
1200000076,200000076
1200000077,200000077
1200000078,200000078
1200000079,200000079
1200000080,200000080
1200000081,200000081
1200000082,200000082
1200000083,200000083
1200000084,200000084
1200000085,200000085
1200000086,200000086
1200000087,200000087
1200000088,200000088
1200000089,200000089
1200000090,200000090
1200000091,200000091
1200000092,200000092
1200000093,200000093
1200000094,200000094
1200000095,200000095
1200000096,200000096
1200000097,200000097
1200000098,200000098
1200000099,200000099
1200000100,200000100
1200000101,200000101
1200000102,200000102
1200000103,200000103
1200000104,200000104
1200000105,200000105
1200000106,200000106
1200000107,200000107
1200000108,200000108
1200000109,200000109
1200000110,200000110
1200000111,200000111
1200000112,200000112
1200000113,200000113
1200000114,200000114
1200000115,200000115
1200000116,200000116
1200000117,200000117
1200000118,200000118
1200000119,200000119
1200000120,200000120
1200000121,200000121
1200000122,200000122
1200000123,200000123
1200000124,200000124
1200000125,200000125
1200000126,200000126
1200000127,200000127
1200000128,200000128
1200000129,200000129
1200000130,200000130
1200000131,200000131
1200000132,200000132
1200000133,200000133
1200000134,200000134
1200000135,200000135
1200000136,200000136
1200000137,200000137
1200000138,200000138
1200000139,200000139
1200000140,200000140
1200000141,200000141
1200000142,200000142
1200000143,200000143
1200000144,200000144
1200000145,200000145
1200000146,200000146
1200000147,200000147
1200000148,200000148
1200000149,200000149
1200000150,200000150
1200000151,200000151
1200000152,200000152
1200000153,200000153
1200000154,200000154
1200000155,200000155
1200000156,200000156
1200000157,200000157
1200000158,200000158
1200000159,200000159
1200000160,200000160
1200000161,200000161
1200000162,200000162
1200000163,200000163
1200000164,200000164
1200000165,200000165
1200000166,200000166
1200000167,200000167
1200000168,200000168
1200000169,200000169
1200000170,200000170
1200000171,200000171
1200000172,200000172
1200000173,200000173
1200000174,200000174
1200000175,200000175
1200000176,200000176
1200000177,200000177
1200000178,200000178
1200000179,200000179
1200000180,200000180
1200000181,200000181
1200000182,200000182
1200000183,200000183
1200000184,200000184
1200000185,200000185
1200000186,200000186
1200000187,200000187
1200000188,200000188
1200000189,200000189
1200000190,200000190
1200000191,200000191
1200000192,200000192
1200000193,200000193
1200000194,200000194
1200000195,200000195
1200000196,200000196
1200000197,200000197
1200000198,200000198
1200000199,200000199
1200000200,200000200
1200000201,200000201
1200000202,200000202
1200000203,200000203
1200000204,200000204
1200000205,200000205
1200000206,200000206
1200000207,200000207
1200000208,200000208
1200000209,200000209
1200000210,200000210
1200000211,200000211
1200000212,200000212
1200000213,200000213
1200000214,200000214
1200000215,200000215
1200000216,200000216
1200000217,200000217
1200000218,200000218
1200000219,200000219
1200000220,200000220
1200000221,200000221
1200000222,200000222
1200000223,200000223
1200000224,200000224
1200000225,200000225
1200000226,200000226
1200000227,200000227
1200000228,200000228
1200000229,200000229
1200000230,200000230
1200000231,200000231
1200000232,200000232
1200000233,200000233
1200000234,200000234
1200000235,200000235
1200000236,200000236
1200000237,200000237
1200000238,200000238
1200000239,200000239
1200000240,200000240
1200000241,200000241
1200000242,200000242
1200000243,200000243
1200000244,200000244
1200000245,200000245
1200000246,200000246
1200000247,200000247
1200000248,200000248
1200000249,200000249
1200000250,200000250
1200000251,200000251
1200000252,200000252
1200000253,200000253
1200000254,200000254
1200000255,200000255
1200000256,200000256
1200000257,200000257
1200000258,200000258
1200000259,200000259
1200000260,200000260
1200000261,200000261
1200000262,200000262
1200000263,200000263
1200000264,200000264
1200000265,200000265
1200000266,200000266
1200000267,200000267
1200000268,200000268
1200000269,200000269
1200000270,200000270
1200000271,200000271
1200000272,200000272
1200000273,200000273
1200000274,200000274
1200000275,200000275
1200000276,200000276
1200000277,200000277
1200000278,200000278
1200000279,200000279
1200000280,200000280
1200000281,200000281
1200000282,200000282
1200000283,200000283
1200000284,200000284
1200000285,200000285
1200000286,200000286
1200000287,200000287
1200000288,200000288
1200000289,200000289
1200000290,200000290
1200000291,200000291
1200000292,200000292
1200000293,200000293
1200000294,200000294
1200000295,200000295
1200000296,200000296
1200000297,200000297
1200000298,200000298
1200000299,200000299
1200000300,200000300
1200000301,200000301
1200000302,200000302
1200000303,200000303
1200000304,200000304
1200000305,200000305
1200000306,200000306
1200000307,200000307
1200000308,200000308
1200000309,200000309
1200000310,200000310
1200000311,200000311
1200000312,200000312
1200000313,200000313
1200000314,200000314
1200000315,200000315
1200000316,200000316
1200000317,200000317
1200000318,200000318
1200000319,200000319
1200000320,200000320
1200000321,200000321
1200000322,200000322
1200000323,200000323
1200000324,200000324
1200000325,200000325
1200000326,200000326
1200000327,200000327
1200000328,200000328
1200000329,200000329
1200000330,200000330
1200000331,200000331
1200000332,200000332
1200000333,200000333
1200000334,200000334
1200000335,200000335
1200000336,200000336
1200000337,200000337
1200000338,200000338
1200000339,200000339
1200000340,200000340
1200000341,200000341
1200000342,200000342
1200000343,200000343
1200000344,200000344
1200000345,200000345
1200000346,200000346
1200000347,200000347
1200000348,200000348
1200000349,200000349
1200000350,200000350
1200000351,200000351
1200000352,200000352
1200000353,200000353
1200000354,200000354
1200000355,200000355
1200000356,200000356
1200000357,200000357
1200000358,200000358
1200000359,200000359
1200000360,200000360
1200000361,200000361
1200000362,200000362
1200000363,200000363
1200000364,200000364
1200000365,200000365
1200000366,200000366
1200000367,200000367
1200000368,200000368
1200000369,200000369
1200000370,200000370
1200000371,200000371
1200000372,200000372
1200000373,200000373
1200000374,200000374
1200000375,200000375
1200000376,200000376
1200000377,200000377
1200000378,200000378
1200000379,200000379
1200000380,200000380
1200000381,200000381
1200000382,200000382
1200000383,200000383
1200000384,200000384
1200000385,200000385
1200000386,200000386
1200000387,200000387
1200000388,200000388
1200000389,200000389
1200000390,200000390
1200000391,200000391
1200000392,200000392
1200000393,200000393
1200000394,200000394
1200000395,200000395
1200000396,200000396
1200000397,200000397
1200000398,200000398
1200000399,200000399
1200000400,200000400
1200000401,200000401
1200000402,200000402
1200000403,200000403
1200000404,200000404
1200000405,200000405
1200000406,200000406
1200000407,200000407
1200000408,200000408
1200000409,200000409
1200000410,200000410
1200000411,200000411
1200000412,200000412
1200000413,200000413
1200000414,200000414
1200000415,200000415
1200000416,200000416
1200000417,200000417
1200000418,200000418
1200000419,200000419
1200000420,200000420
1200000421,200000421
1200000422,200000422
1200000423,200000423
1200000424,200000424
1200000425,200000425
1200000426,200000426
1200000427,200000427
1200000428,200000428
1200000429,200000429
1200000430,200000430
1200000431,200000431
1200000432,200000432
1200000433,200000433
1200000434,200000434
1200000435,200000435
1200000436,200000436
1200000437,200000437
1200000438,200000438
1200000439,200000439
1200000440,200000440
1200000441,200000441
1200000442,200000442
1200000443,200000443
1200000444,200000444
1200000445,200000445
1200000446,200000446
1200000447,200000447
1200000448,200000448
1200000449,200000449
1200000450,200000450
1200000451,200000451
1200000452,200000452
1200000453,200000453
1200000454,200000454
1200000455,200000455
1200000456,200000456
1200000457,200000457
1200000458,200000458
1200000459,200000459
1200000460,200000460
1200000461,200000461
1200000462,200000462
1200000463,200000463
1200000464,200000464
1200000465,200000465
1200000466,200000466
1200000467,200000467
1200000468,200000468
1200000469,200000469
1200000470,200000470
1200000471,200000471
1200000472,200000472
1200000473,200000473
1200000474,200000474
1200000475,200000475
1200000476,200000476
1200000477,200000477
1200000478,200000478
1200000479,200000479
1200000480,200000480
1200000481,200000481
1200000482,200000482
1200000483,200000483
1200000484,200000484
1200000485,200000485
1200000486,200000486
1200000487,200000487
1200000488,200000488
1200000489,200000489
1200000490,200000490
1200000491,200000491
1200000492,200000492
1200000493,200000493
1200000494,200000494
1200000495,200000495
1200000496,200000496
1200000497,200000497
1200000498,200000498
1200000499,200000499
1200000500,200000500
1200000501,200000501
1200000502,200000502
1200000503,200000503
1200000504,200000504
1200000505,200000505
1200000506,200000506
1200000507,200000507
1200000508,200000508
1200000509,200000509
1200000510,200000510
1200000511,200000511
1200000512,200000512
1200000513,200000513
1200000514,200000514
1200000515,200000515
1200000516,200000516
1200000517,200000517
1200000518,200000518
1200000519,200000519
1200000520,200000520
1200000521,200000521
1200000522,200000522
1200000523,200000523
1200000524,200000524
1200000525,200000525
1200000526,200000526
1200000527,200000527
1200000528,200000528
1200000529,200000529
1200000530,200000530
1200000531,200000531
1200000532,200000532
1200000533,200000533
1200000534,200000534
1200000535,200000535
1200000536,200000536
1200000537,200000537
1200000538,200000538
1200000539,200000539
1200000540,200000540
1200000541,200000541
1200000542,200000542
1200000543,200000543
1200000544,200000544
1200000545,200000545
1200000546,200000546
1200000547,200000547
1200000548,200000548
1200000549,200000549
1200000550,200000550
1200000551,200000551
1200000552,200000552
1200000553,200000553
1200000554,200000554
1200000555,200000555
1200000556,200000556
1200000557,200000557
1200000558,200000558
1200000559,200000559
1200000560,200000560
1200000561,200000561
1200000562,200000562
1200000563,200000563
1200000564,200000564
1200000565,200000565
1200000566,200000566
1200000567,200000567
1200000568,200000568
1200000569,200000569
1200000570,200000570
1200000571,200000571
1200000572,200000572
1200000573,200000573
1200000574,200000574
1200000575,200000575
1200000576,200000576
1200000577,200000577
1200000578,200000578
1200000579,200000579
1200000580,200000580
1200000581,200000581
1200000582,200000582
1200000583,200000583
1200000584,200000584
1200000585,200000585
1200000586,200000586
1200000587,200000587
1200000588,200000588
1200000589,200000589
1200000590,200000590
1200000591,200000591
1200000592,200000592
1200000593,200000593
1200000594,200000594
1200000595,200000595
1200000596,200000596
1200000597,200000597
1200000598,200000598
1200000599,200000599
1200000600,200000600
1200000601,200000601
1200000602,200000602
1200000603,200000603
1200000604,200000604
1200000605,200000605
1200000606,200000606
